dataset,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_runs,n_features_mean,accuracy_mean,accuracy_std,precision_handover_mean,precision_handover_std,recall_handover_mean,recall_handover_std,f1_handover_mean,f1_handover_std,f1_handover_min,f1_handover_max,dataset_short
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Decision_Tree,Decision_Tree,5,10.0,0.6318865101390262,0.052578835511099,0.26863845423356053,0.045095079244200136,0.5681759380412534,0.06251685309843705,0.36366297189111413,0.05055000564100981,0.3059019118869493,0.4158027458671897,D2 Urban proxy
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,KNN,KNN,5,10.0,0.782093924670159,0.035615878987373915,0.3350071079752835,0.06882748347436635,0.1600215586210311,0.012491610295438072,0.2140525896060756,0.014701033676350292,0.1965601965601965,0.2357756856324191,D2 Urban proxy
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Logistic_Regression,Logistic_Regression,5,10.0,0.6399492217317425,0.03240321218450843,0.297563011445127,0.05327692509680654,0.6874517078206834,0.02829943678445618,0.4137114325361525,0.056834709727067306,0.3393939393939394,0.4645546242363972,D2 Urban proxy
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Random_Forest,Random_Forest,5,10.0,0.7733849747302406,0.030573041879741372,0.3636593865478681,0.062592470981749,0.27414678425719174,0.023587086001169967,0.3086074445059294,0.013144005940224725,0.2884057971014492,0.3242477876106194,D2 Urban proxy
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,SVM,SVM,5,10.0,0.6405278275912643,0.03049997975430632,0.2945671765982166,0.05326471670891602,0.6683850062074328,0.02320986583183353,0.40729183686194326,0.05588136154735969,0.3416125334352312,0.4559398496240601,D2 Urban proxy
D2_urban_multi_operator_public_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,GRU,direct_sigmoid,5,588.0,0.6784522419377514,0.06860245727564417,0.3202701543384921,0.024848970032905746,0.6444250413810564,0.08062306414503838,0.42754558730237935,0.03884810225635849,0.3789764868603043,0.475499629903775,D2 Urban proxy
D2_urban_multi_operator_public_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,LSTM,direct_sigmoid,5,588.0,0.6779443751583248,0.07073669408154616,0.3116703237390297,0.02276777249373149,0.6023309942809625,0.1009909213772399,0.4096997237277309,0.04104301669567781,0.3543543543543543,0.4528853177501826,D2 Urban proxy
D2_urban_multi_operator_public_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,TCN,direct_sigmoid,5,588.0,0.6383235452248266,0.057452507429801285,0.277500714020746,0.05858251286491303,0.5759189060976532,0.1442080738477499,0.3667392788571616,0.05507541156202469,0.3099510603588907,0.4375663247258578,D2 Urban proxy
D2_urban_multi_operator_public_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,Transformer,direct_sigmoid,5,588.0,0.6593510288754941,0.036683911223608506,0.29150293142969314,0.04167692458348567,0.5829581696740951,0.0584055676986153,0.3866508593715846,0.040960951169586826,0.3391812865497076,0.4210526315789473,D2 Urban proxy
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,Decision_Tree,Decision_Tree,5,32.0,0.6826193472408056,0.051821504668565804,0.31588058989505735,0.04074497630099059,0.5984120607533044,0.05608404556456502,0.4113258922126735,0.03633630493035567,0.3674488267598602,0.4502244929555659,D2 Urban proxy
